η₀,m=0,m=1,m=1.5,m=2,m=2.5
0.1,0.0188892,0.0216039,0.0219285,0.0225918,0.0232155
0.105,0.0207858,0.022977900000000002,0.0238293,0.0245916,0.0258156
0.11,0.0218988,0.0248391,0.0258093,0.0266706,0.0280376
0.115,0.023453099999999998,0.0272902,0.0284214,0.029411200000000002,0.0297495
0.12,0.0255429,0.0287298,0.030572699999999998,0.0316938,0.0327543
0.125,0.0271993,0.0313908,0.032794699999999996,0.0340471,0.0352389
0.13,0.028314,0.032858099999999994,0.035097500000000004,0.036491300000000004,0.0378144
0.135,0.0299871,0.0357237,0.0367191,0.0382338,0.0396693
0.14,0.0316998,0.037224,0.0398849,0.0416019,0.043227999999999996
0.145,0.034107700000000005,0.0402788,0.0415503,0.044278399999999996,0.0460661
0.15,0.0351945,0.0426523,0.0440748,0.0470357,0.0480348
0.155,0.0377336,0.04507630000000001,0.0466587,0.0488862,0.0509949
0.16,0.0387981,0.046609199999999996,0.049321800000000006,0.051747299999999996,0.0540441
0.165,0.0414504,0.050096,0.0520443,0.0557823,0.0583477
0.17,0.0433492,0.0526917,0.0548361,0.0588628,0.0604296
0.175,0.0452682,0.0553379,0.0588628,0.0607959,0.0650339
0.18,0.0462825,0.0580447,0.0606177,0.0652662,0.0671715
0.185,0.0482031,0.0608121,0.06361739999999999,0.0685891,0.0721039
0.19,0.0511666,0.06363,0.0680235,0.0719928,0.0757803
0.195,0.0531765,0.0664984,0.0712252,0.0754874,0.0779724
0.2,0.0541134,0.0694274,0.0744875,0.0790527,0.0834159
0.205,0.0572468,0.072417,0.0778205,0.0827089,0.0856449
0.21,0.059317299999999996,0.0739629,0.08122420000000001,0.0864459,0.0896247
0.215,0.0613979,0.0769923,0.0846986,0.0902738,0.0936936
0.22,0.06349869999999999,0.0800811,0.08824370000000001,0.0923175,0.09786149999999999
0.225,0.0656197,0.08490059999999999,0.0900405,0.098172,0.10419160000000001
0.23,0.0677609,0.08641710000000001,0.093654,0.1002276,0.1064943
0.235,0.0685278,0.0896643,0.0973368,0.1043064,0.1109592
0.24,0.0720837,0.0929709,0.1031311,0.1106657,0.1178569
0.245,0.0727947,0.096327,0.1049103,0.1127214,0.1226039
